File,Result,Runtime (s)
Stroeder_15__2Nested_true-termination.c__p20189_terminationG_0.smt2,UNSOLVED,20.0
Stroeder_15__4NestedWith3Variables_true-termination.c__terminationS_2_0.smt2,UNSOLVED,20.0
Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c__term_unfeasibility_0_0.smt2,UNSAT,1.315
inst1.ez.smt2,SAT,0.6986
inst2.ez.smt2,SAT,0.9586
inst3.ez.smt2,SAT,0.657
inst4.ez.smt2,SAT,0.6989
inst5.ez.smt2,SAT,0.7099
inst6.ez.smt2,SAT,0.6054
inst7.ez.smt2,SAT,0.8715
inst8.ez.smt2,SAT,0.9692
array-1-O0.smt2,UNSAT,1.9464
benchmark52_polynomial-O0.smt2,UNSAT,2.1102
bresenham-ll-O0.smt2,UNSOLVED,20.0
bresenham-ll_unwindbound1-O0.smt2,UNSOLVED,20.0
bresenham-ll_unwindbound10-O0.smt2,UNSOLVED,20.0
bresenham-ll_unwindbound100-O0.smt2,UNSOLVED,20.0
bresenham-ll_unwindbound2-O0.smt2,UNSOLVED,20.0
bresenham-ll_unwindbound20-O0.smt2,UNSOLVED,20.0
bresenham-ll_unwindbound5-O0.smt2,UNSOLVED,20.0
bresenham-ll_unwindbound50-O0.smt2,UNSOLVED,20.0
bresenham-ll_valuebound1-O0.smt2,UNSOLVED,20.0
bresenham-ll_valuebound10-O0.smt2,UNSOLVED,20.0
bresenham-ll_valuebound100-O0.smt2,UNSOLVED,20.0
bresenham-ll_valuebound2-O0.smt2,UNSOLVED,20.0
bresenham-ll_valuebound20-O0.smt2,UNSOLVED,20.0
bresenham-ll_valuebound5-O0.smt2,UNSOLVED,20.0
bresenham-ll_valuebound50-O0.smt2,UNSOLVED,20.0
cohencu-ll-O0.smt2,UNSOLVED,20.0
MC_02.smt2,UNSAT,0.561
MF_02.smt2,UNSAT,0.5684
MQ_02.smt2,UNSAT,0.3451
MS_02.smt2,UNSAT,0.4854
egcd.c_0.smt2,SAT,8.8571
egcd.c_3.smt2,SAT,3.5459
egcd.c_4.smt2,SAT,3.7656
egcd.c_5.smt2,SAT,5.2577
interleave_bits.c_3.smt2,UNSOLVED,20.0
interleave_bits.c_4.smt2,SAT,1.3792
modSimpleTest.smt2,UNSAT,0.6576
A_1.smt2,UNSOLVED,20.0
aproveSMT1002369120799378097.smt2,SAT,0.0686
aproveSMT1002987040614633432.smt2,SAT,0.1793
aproveSMT1003079011540423379.smt2,SAT,0.5372
aproveSMT1004548876139444098.smt2,SAT,0.1445
aproveSMT1006593265001882878.smt2,SAT,0.0409
aproveSMT1008289700543544835.smt2,SAT,0.099
aproveSMT1009548771014223017.smt2,SAT,0.3505
aproveSMT1011702640639437570.smt2,SAT,0.0683
aproveSMT101417910736011502.smt2,UNSAT,3.2308
aproveSMT1016338376657137265.smt2,SAT,0.0381
aproveSMT1017370803858160340.smt2,SAT,0.1195
aproveSMT1017862898884660660.smt2,SAT,0.1653
aproveSMT1021654105853853383.smt2,SAT,0.1225
aproveSMT1022543817592849705.smt2,SAT,0.0707
aproveSMT1023437561463628372.smt2,SAT,0.2741
aproveSMT1026916174897974995.smt2,SAT,0.1173
aproveSMT1031134853756247882.smt2,SAT,0.1736
aproveSMT1038244403212994346.smt2,SAT,0.2541
aproveSMT1044364220480225355.smt2,SAT,0.04
aproveSMT1045293394610378205.smt2,SAT,0.0396
aproveSMT1049786927316670908.smt2,UNSOLVED,20.0
aproveSMT1052446639564253740.smt2,SAT,0.0428
aproveSMT1061498247469120548.smt2,SAT,0.0436
aproveSMT106352422603502658.smt2,SAT,0.0363
aproveSMT106628954746449373.smt2,UNSAT,0.673
aproveSMT1071993156819731935.smt2,SAT,0.5435
aproveSMT1072646210924280341.smt2,UNSAT,0.7466
aproveSMT1076852626867582761.smt2,SAT,1.1226
aproveSMT1079747557447732919.smt2,SAT,0.0941
aproveSMT1090306236237454748.smt2,SAT,0.2835
aproveSMT1097886040970681958.smt2,SAT,0.1641
aproveSMT110406245392905194.smt2,SAT,0.0336
aproveSMT1105246329636558105.smt2,UNSAT,1.0834
Ackermann01_true-termination.c_Iteration9_Loop+nonterminationTemplate_0.smt2,UNSAT,0.0736
AliasDarteFeautrierGonnord-SAS2010-exmini_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.0882
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c_Iteration8_Loop+nonterminationTemplate_0.smt2,UNSAT,0.0989
AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c_Iteration9_Loop+nonterminationTemplate_0.smt2,UNSAT,0.0964
AliasDarteFeautrierGonnord-SAS2010-rsd_true-termination.c_Iteration4_Loop+nonterminationTemplate_0.smt2,UNSAT,3.4473
AliasDarteFeautrierGonnord-SAS2010-terminate_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.0943
BradleyMannaSipma-ICALP2005-Fig1_true-termination.c_Iteration4_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.0833
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,1.2436
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c_Iteration2_Loop+nonterminationTemplate_0.smt2,UNSAT,1.3765
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c_Iteration3_Loop+nonterminationTemplate_0.smt2,UNSAT,1.6492
ChenFlurMukhopadhyay-SAS2012-Ex2.07_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.5399
ChenFlurMukhopadhyay-SAS2012-Ex2.13_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.6708
ChenFlurMukhopadhyay-SAS2012-Ex2.19_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.3636
ChenFlurMukhopadhyay-SAS2012-Ex3.01_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,1.3223
ChenFlurMukhopadhyay-SAS2012-Ex3.05_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.2112
ChenFlurMukhopadhyay-SAS2012-Ex3.08_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,2.1251
ChenFlurMukhopadhyay-SAS2012-Ex3.09_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.5653
ChenFlurMukhopadhyay-SAS2012-Ex3.10_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.0907
ChooseLife_false-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.1155
Collatz_unknown-termination.c_Iteration4_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.8683
ColonSipma-TACAS2001-Fig1_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.0963
Copenhagen_disj_true-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.4617
Et1_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,1.1299
Et1_true_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,1.1186
Et4_false-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,SAT,0.1542
Et4_false-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,SAT,0.1925
Et4_true_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.7131
Et4_true_true-termination.c_Iteration2_Loop+nonterminationTemplate_0.smt2,UNSAT,0.625
Et4_true_true-termination.c_Iteration3_Loop+nonterminationTemplate_0.smt2,UNSAT,0.7035
Et4_true_true-termination.c_Iteration4_Loop+nonterminationTemplate_0.smt2,UNSAT,0.8935
EvenOdd01_true-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.0695
GCD4_true-termination.c_Iteration2_Loop+nonterminationTemplate_0.smt2,UNSAT,0.0961
Gothenburg_true-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.1112
Gothenburg_v2_true-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.1125
HarrisLalNoriRajamani-SAS2010-Fig1_true-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.0672
HarrisLalNoriRajamani-SAS2010-Fig1_true-termination.c_Iteration2_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.0678
HeizmannHoenickeLeikePodelski-ATVA2013-Fig2_true-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.0846
LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.8789
LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c_Iteration3_Loop+nonterminationTemplate_0.smt2,UNSAT,1.0482
linear_sea.ch_true-unreach-call.i_162.smt2,UNSAT,0.0275
linear_sea.ch_true-unreach-call.i_163.smt2,UNSAT,0.0258
linear_sea.ch_true-unreach-call.i_164.smt2,UNSAT,0.0282
linear_sea.ch_true-unreach-call.i_75.smt2,UNSAT,0.0277
linear_sea.ch_true-unreach-call.i_76.smt2,UNSAT,0.0294
linear_sea.ch_true-unreach-call.i_77.smt2,UNSAT,0.0943
Ben-Amram-2010LMCS-Ex2.3-alloca_true-termination.c.i_Iteration4_Lasso+nonterminationTemplate.smt2,UNSAT,1.3991
BradleyMannaSipma-2005CAV-Fig1-alloca_unknown-termination.c.i_Iteration5_Lasso+nonterminationTemplate.smt2,UNSAT,1.6768
BradleyMannaSipma-2005CAV-Fig1-modified-alloca_unknown-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,SAT,0.7407
BradleyMannaSipma-2005ICALP-Fig1-alloca_unknown-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,SAT,0.5083
BrockschmidtCookFuhs-2013CAV-Fig1-alloca_true-termination.c.i_Iteration3_Lasso+nonterminationTemplate.smt2,UNSAT,0.7799
ChenFlurMukhopadhyay-2012SAS-Fig1-alloca_true-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,UNSAT,1.6775
CookSeeZuleger-2013TACAS-Fig7a-alloca_true-termination.c.i_Iteration8_Lasso+nonterminationTemplate.smt2,UNSAT,1.6638
GulwaniJainKoskinen-2009PLDI-Fig1-alloca_true-termination.c.i_Iteration3_Lasso+nonterminationTemplate.smt2,UNSAT,1.9748
HarrisLalNoriRajamani-2010SAS-Fig2-alloca_unknown-termination.c.i_Iteration2_Lasso+nonterminationTemplate.smt2,SAT,0.4601
LarrazOliverasRodriguez-CarbonellRubio-2013FMCAD-Fig1-alloca_unknown-termination.c.i_Iteration4_Lasso+nonterminationTemplate.smt2,UNSAT,1.7708
LarrazOliverasRodriguez-CarbonellRubio-2013FMCAD-Fig1-alloca_unknown-termination.c.i_Iteration6_Lasso+nonterminationTemplate.smt2,UNSAT,1.7247
LarrazOliverasRodriguez-CarbonellRubio-2013FMCAD-Fig1-alloca_unknown-termination.c.i_Iteration7_Lasso+nonterminationTemplate.smt2,UNSAT,1.3295
Masse-alloca_true-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,UNSAT,0.2482
PodelskiRybalchenko-2004VMCAI-Ex2-alloca_false-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,SAT,0.1518
Urban-2013WST-Fig1-alloca_false-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,SAT,0.07
Velroyen-alloca_false-termination.c.i_Iteration2_Lasso+nonterminationTemplate.smt2,SAT,0.1281
b.09-no-inv_assume-alloca_true-termination.c.i_Iteration4_Lasso+nonterminationTemplate.smt2,UNSAT,-0.1779
diff-alloca_true-termination.c.i_Iteration7_Lasso+nonterminationTemplate.smt2,UNSAT,2.6955
java_AG313-alloca_true-termination.c.i_Iteration2_Lasso+nonterminationTemplate.smt2,UNSAT,1.7841
openbsd_cstpncpy-alloca_true-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,UNSAT,1.9751
substring-alloca_true-termination.c.i_Iteration5_Lasso+nonterminationTemplate.smt2,UNSAT,1.7902
problem-000001.cvc.1.smt2,SAT,0.1755
problem-000001.cvc.2.smt2,UNSAT,0.2571
problem-000003.cvc.1.smt2,SAT,0.0752
problem-000003.cvc.2.smt2,SAT,0.2826
problem-000005.cvc.1.smt2,SAT,0.4463
problem-000005.cvc.2.smt2,UNSAT,0.2844
problem-000007.cvc.1.smt2,SAT,0.0776
problem-000008.cvc.1.smt2,SAT,0.0756
problem-000008.cvc.2.smt2,SAT,0.1631
problem-000012.cvc.1.smt2,SAT,0.3873
problem-000012.cvc.2.smt2,UNSAT,0.7827
problem-000013.cvc.1.smt2,SAT,0.4011
problem-000016.cvc.1.smt2,SAT,0.3988
problem-000016.cvc.2.smt2,UNSAT,0.8062
problem-000019.cvc.1.smt2,SAT,0.0773
problem-000019.cvc.2.smt2,SAT,0.1698
problem-000021.cvc.1.smt2,SAT,0.4464
problem-000021.cvc.2.smt2,UNSAT,0.2975
problem-000024.cvc.1.smt2,SAT,0.4378
problem-000025.cvc.1.smt2,SAT,0.4731
problem-000025.cvc.2.smt2,UNSAT,0.3173
problem-000030.cvc.1.smt2,SAT,0.1719
problem-000030.cvc.2.smt2,UNSAT,0.2578
