File,Result,Runtime (s)
Stroeder_15__2Nested_true-termination.c__p20189_terminationG_0.smt2,SAT,0.1171
Stroeder_15__4NestedWith3Variables_true-termination.c__terminationS_2_0.smt2,UNSAT,0.5587
Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c__term_unfeasibility_0_0.smt2,UNSAT,0.1027
inst1.ez.smt2,SAT,0.1986
inst2.ez.smt2,SAT,0.1535
inst3.ez.smt2,SAT,0.1271
inst4.ez.smt2,SAT,0.157
inst5.ez.smt2,SAT,0.1485
inst6.ez.smt2,SAT,0.1541
inst7.ez.smt2,SAT,0.151
inst8.ez.smt2,SAT,0.1462
array-1-O0.smt2,UNSAT,0.752
benchmark52_polynomial-O0.smt2,UNSAT,0.3207
bresenham-ll-O0.smt2,UNSAT,0.2958
bresenham-ll_unwindbound1-O0.smt2,UNSAT,0.2977
bresenham-ll_unwindbound10-O0.smt2,UNSAT,0.3034
bresenham-ll_unwindbound100-O0.smt2,UNSAT,0.3075
bresenham-ll_unwindbound2-O0.smt2,UNSAT,0.3595
bresenham-ll_unwindbound20-O0.smt2,UNSAT,0.3328
bresenham-ll_unwindbound5-O0.smt2,UNSAT,0.3331
bresenham-ll_unwindbound50-O0.smt2,UNSAT,0.2933
bresenham-ll_valuebound1-O0.smt2,UNSAT,0.3489
bresenham-ll_valuebound10-O0.smt2,UNSAT,0.4408
bresenham-ll_valuebound100-O0.smt2,UNSAT,0.3332
bresenham-ll_valuebound2-O0.smt2,UNSAT,0.2742
bresenham-ll_valuebound20-O0.smt2,UNSAT,0.2759
bresenham-ll_valuebound5-O0.smt2,UNSAT,0.2977
bresenham-ll_valuebound50-O0.smt2,UNSAT,0.3334
cohencu-ll-O0.smt2,UNSAT,0.3495
MC_02.smt2,UNSAT,0.1259
MF_02.smt2,UNSAT,0.268
MQ_02.smt2,UNSAT,0.1624
MS_02.smt2,UNSAT,0.2139
egcd.c_0.smt2,UNSOLVED,20.0
egcd.c_3.smt2,UNSOLVED,20.0
