File,Result,Runtime (s)
Stroeder_15__2Nested_true-termination.c__p20189_terminationG_0.smt2,SAT,1.8666
Stroeder_15__4NestedWith3Variables_true-termination.c__terminationS_2_0.smt2,UNSAT,2.424
Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c__term_unfeasibility_0_0.smt2,UNSAT,0.383
inst1.ez.smt2,SAT,0.1742
inst2.ez.smt2,SAT,0.1909
inst3.ez.smt2,SAT,0.1838
inst4.ez.smt2,SAT,0.186
inst5.ez.smt2,SAT,0.1801
inst6.ez.smt2,SAT,0.179
inst7.ez.smt2,SAT,0.1715
inst8.ez.smt2,SAT,0.1842
array-1-O0.smt2,UNSAT,1.6405
benchmark52_polynomial-O0.smt2,UNSAT,0.7262
bresenham-ll-O0.smt2,UNSAT,0.7037
bresenham-ll_unwindbound1-O0.smt2,UNSAT,0.8387
bresenham-ll_unwindbound10-O0.smt2,UNSAT,0.8334
bresenham-ll_unwindbound100-O0.smt2,UNSAT,0.8685
bresenham-ll_unwindbound2-O0.smt2,UNSAT,0.8581
bresenham-ll_unwindbound20-O0.smt2,UNSAT,0.89
bresenham-ll_unwindbound5-O0.smt2,UNSAT,0.8823
bresenham-ll_unwindbound50-O0.smt2,UNSAT,0.8779
bresenham-ll_valuebound1-O0.smt2,UNSAT,0.9369
bresenham-ll_valuebound10-O0.smt2,UNSAT,0.948
bresenham-ll_valuebound100-O0.smt2,UNSAT,0.8946
bresenham-ll_valuebound2-O0.smt2,UNSAT,0.9015
bresenham-ll_valuebound20-O0.smt2,UNSAT,0.8781
bresenham-ll_valuebound5-O0.smt2,UNSAT,0.8676
bresenham-ll_valuebound50-O0.smt2,UNSAT,0.8995
cohencu-ll-O0.smt2,UNSAT,2.0463
MC_02.smt2,UNSAT,0.1482
MF_02.smt2,UNSAT,0.1435
MQ_02.smt2,UNSAT,0.1394
MS_02.smt2,UNSAT,0.1428
egcd.c_0.smt2,SAT,1.2191
egcd.c_3.smt2,SAT,0.2331
egcd.c_4.smt2,SAT,0.2412
egcd.c_5.smt2,SAT,0.1986
interleave_bits.c_3.smt2,SAT,1.1074
interleave_bits.c_4.smt2,SAT,0.2253
modSimpleTest.smt2,UNSAT,0.2116
A_1.smt2,UNSOLVED,1.4162
aproveSMT1002369120799378097.smt2,SAT,0.0489
aproveSMT1002987040614633432.smt2,SAT,0.1148
aproveSMT1003079011540423379.smt2,SAT,0.1231
aproveSMT1004548876139444098.smt2,SAT,0.0676
aproveSMT1006593265001882878.smt2,SAT,0.0397
aproveSMT1008289700543544835.smt2,SAT,0.0438
aproveSMT1009548771014223017.smt2,SAT,0.1292
aproveSMT1011702640639437570.smt2,SAT,0.0387
aproveSMT101417910736011502.smt2,UNSAT,1.4196
aproveSMT1016338376657137265.smt2,SAT,0.0345
aproveSMT1017370803858160340.smt2,SAT,0.0493
aproveSMT1017862898884660660.smt2,SAT,0.0802
aproveSMT1021654105853853383.smt2,SAT,0.0538
aproveSMT1022543817592849705.smt2,SAT,0.0429
aproveSMT1023437561463628372.smt2,SAT,0.0862
aproveSMT1026916174897974995.smt2,SAT,0.0514
aproveSMT1031134853756247882.smt2,SAT,0.0607
aproveSMT1038244403212994346.smt2,SAT,0.0616
aproveSMT1044364220480225355.smt2,SAT,0.03
aproveSMT1045293394610378205.smt2,SAT,0.0296
aproveSMT1049786927316670908.smt2,UNSAT,0.8741
